Length,Avg_Tiempo_FB,Std_Tiempo_FB,Avg_Tiempo_DP,Std_Tiempo_DP,Avg_Tiempo_FB_same_word,Std_Tiempo_FB_same_word,Avg_Tiempo_DP_same_word,Std_Tiempo_DP_same_word
1,0.1,0.3,1.4,1.74356,0,0,0.5,0.5
2,0.1,0.3,1.1,0.3,0,0,0.9,0.3
3,3.3,1.1,4,2.96648,0,0,1.7,0.458258
4,18,7.73305,3.5,0.921954,0,0,2.9,0.538516
5,74.2,32.0087,4.6,1.28062,0,0,3.7,0.640312
6,282.9,56.0204,3.8,1.249,0,0,3.6,0.8
7,1198.6,394.665,5.8,1.8868,0,0,4,1.34164
8,6230.1,2356.99,6.7,1.48661,0,0,4.9,1.13578
9,34195.9,11546.9,9.5,2.83725,0,0,6.1,1.04403
10,186207,56565.2,17.7,1.00499,0,0,8.3,0.640312
11,940656,298784,22.4,10.566,0,0,9.5,1.5
